ISIC Rev 5 Code (with Section),ISIC Rev 5 Code,ISIC Rev 5 Title,ISIC Rev 5 Introductory Text,ISIC Rev 5 Includes,ISIC Rev 5 Includes Also,ISIC Rev 5 Excludes
C281,281,Manufacture of general-purpose machinery,,"This group includes the manufacture of general-purpose machinery, i.e. machinery that is being used in a wide range of ISIC industries. This can include the manufacture of components used in the manufacture of a variety of other machinery or the manufacture of machinery that support the operation of other businesses.",,
C2811,2811,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,"This class includes:
- manufacture of internal combustion piston engines, except motor vehicle, aircraft and cycle propulsion engines:
• marine engines
• railway engines
- manufacture of parts suitable for use solely or principally with internal combustion engines, e.g. pistons, piston rings, carburettors and such for internal combustion engines, diesel engines etc, except for motor vehicles
- manufacture of inlet and exhaust valves of internal combustion engines
- manufacture of turbines and parts thereof:
• steam turbines and other vapour turbines
• hydraulic turbines, waterwheels and regulators thereof
• wind turbines and mills 
• gas turbines, except turbojets or turbo propellers for aircraft propulsion 
- manufacture of boiler-turbine sets
- manufacture of turbine-generator sets, consisting of a turbine and a generator mounted together
- manufacture of engines for industrial application
- factory overhaul of ship and boat engines",,"This class excludes:
- manufacture of electric generators (except turbine generator sets), see 271
- manufacture of prime mover generator sets (except turbine generator sets), see 2710
- manufacture of parts of motor vehicles combustion engines, see 2910 
- manufacture of electrical equipment and components of internal combustion piston engines for motor vehicles, see 293 
- manufacture of pistons, piston rings, carburetors and such for internal combustion engines, diesel engines for motor vehicles, see 293
- manufacture of internal combustion piston engines propulsion engines for aircraft, see 3030, 3030
- manufacture of motorcycle propulsion engines, see 3091
- manufacture of aircraft engines, turbojets and turbo propellers, see 3030, 3030"
C2812,2812,Manufacture of fluid power equipment,,"This class includes:
- manufacture of hydraulic and pneumatic power engines and motors, cylinders and valve
- manufacture of air preparation equipment for use in pneumatic systems
- manufacture of hydraulic fluid power systems
- manufacture of hydraulic transmission equipment
- manufacture of electric linear actuators
- manufacture of gas spring cylinders",,"This class excludes:
- manufacture of hydraulic or pneumatic tubes, pipes and hoses of rubber, see 2211
- manufacture of hydraulic or pneumatic tubes, pipes and hoses of plastic, see 2220
- manufacture of compressors, see 2813
- manufacture of pumps other than hydraulic fluid power pumps, see 2813
- manufacture of valves for non-fluid power applications, see 2813
- manufacture of mechanical, i.e. hydrostatic and hydrodynamic, transmission equipment, see 2814"
C2813,2813,"Manufacture of other pumps, compressors, taps and valves",,"This class includes:
- manufacture of air or vacuum pumps, air or other gas compressors
- manufacture of pumps for liquids whether or not fitted with a measuring device
- manufacture of pumps designed for fitting to internal combustion engines: oil, water and fuel pumps for motor vehicles etc.","This class also includes:
- manufacture of industrial taps and valves, including regulating valves and intake taps
- manufacture of sanitary taps and valves
- manufacture of heating taps and valves
- manufacture of hand pumps","This class excludes:
- manufacture of valves of unhardened vulcanized rubber, glass or of ceramic materials, see 2219, 2310 or 2393
- manufacture of hydraulic transmission equipment, see 2812
- manufacture of inlet and exhaust valves of internal combustion engines, see 2811"
C2814,2814,"Manufacture of bearings, gears, gearing and driving elements",,"This class includes:
- manufacture of ball and roller bearings and parts thereof
- manufacture of mechanical power transmission equipment e.g.:
• transmission shafts including camshafts, crankshafts and cranks
• bearing housings and plain shaft bearings
- manufacture of gears, gearing and gear boxes and other speed changers
- manufacture of clutches and shaft couplings
- manufacture of flywheels and pulleys
- manufacture of articulated link chain
- manufacture of power transmission chain",,"This class excludes:
- manufacture of other chain, see 2599
- manufacture of hydraulic transmission equipment, see 2812
- manufacture of hydrostatic transmissions, see 2812
- manufacture of clutches for motor vehicles, see 2930
- manufacture of gears, gear boxes and part thereof for motor vehicles, see 2930
- manufacture of sub-assemblies of power transmission equipment which are suitable for use solely or principally with motor identifiable as parts of vehicles or aircraft, see divisions 29 and 30"
C2815,2815,"Manufacture of ovens, furnaces and permanent household heating equipment",,"This class includes:
- manufacture of electrical and other industrial and laboratory furnaces and ovens, including incinerators
- manufacture of furnace burners
- manufacture of  central heating boilers, solar water heaters and similar equipment
-manufacture of household cooling and ventilation equipment","This class also includes:
- manufacture of mechanical stokers, grates, ash dischargers etc.","This class excludes:
- manufacture of electric ovens for domestic use, see 2750
- manufacture of table, floor, wall, window, ceiling or roof fans, see 2750
- manufacture of dryers for agricultural products, see 2825
- manufacture of bakery and biscuits ovens, see 2825
- manufacture of dryers for wood, paper pulp, paper or paperboard, see 2829
- manufacture of medical, surgical or laboratory sterilisers, see 3250
- manufacture of (dental) laboratory furnaces, see 3250"
C2816,2816,Manufacture of lifting and handling equipment,,"This class includes:
- manufacture of hand-operated or power-driven lifting, handling, loading or unloading machinery e.g.:
• pulley tackle and hoists, winches, capstans and jacks
• derricks, cranes, mobile lifting frames, straddle carriers
• works trucks, whether or not fitted with lifting or handling equipment, whether or not self-
propelled, of the type used in factories (including hand trucks and wheelbarrows)
• mechanical manipulators and industrial robots specifically designed for lifting, handling, loading or 
unloading
• manufacture of unmanned and robotic forklifts and pallet loaders/unloaders
- manufacture of conveyors, cable cars etc.
- manufacture of lifts, escalators and moving walkways
- manufacture of  parts suitable for use solely or principally with lifting and handling equipment","This class also includes:
- manufacture of automatic lifting and handling equipment for warehouses ","This class excludes:
- manufacture of machinery for vertical farming, see 2821 
- manufacture of industrial robots for multiple uses, see 2829
- manufacture of continuous-action elevators and conveyors for goods and material for underground use, see 2824
- manufacture of mechanical shovels, excavators and shovel loaders, see 2824
- manufacture of crane lorries, floating cranes, railway cranes, crane-lorries, see 2910, 3011, 3020
- installation of lifts and elevators, see 4329"
C2817,2817,Manufacture of office machinery and equipment (except computers and peripheral equipment),,"This class includes:
- manufacture of calculating machines
- manufacture of cash registers
- manufacture of calculators
- manufacture of postage meters, mail handling machines (envelope stuffing, sealing and addressing 
machinery; opening, sorting, scanning)
- manufacture of typewriters and stenography machines
- manufacture of office-type binding equipment (i.e. plastic or tape binding) 
- manufacture of coin sorting, coin counting and coin wrapping machines
- manufacture of pencil  sharpening machines
- manufacture of  stapling machines
- manufacture of voting machines
- manufacture of tape dispensers
- manufacture of hole punches
- manufacture of photocopy machines
- manufacture of toner cartridges
- manufacture of blackboards; white boards and marker boards with writing or drawing surfaces
- manufacture of dictating machines",,"This class excludes:
- manufacture of computers and peripheral equipment, see 2620"
C2818,2818,Manufacture of power-driven hand tools,,"This class includes:
- manufacture of hand tools, with self-contained electric or non-electric motor, pneumatic or hydraulic drive, such as:
• circular or reciprocating saws
• chain saws
• drills and hammer drills
• hand held power sanders
• pneumatic nailers
• buffers
• routers
• grinders
• staplers
• pneumatic rivet guns
• planers
• shears and nibblers
• impact wrenches
• powder actuated nailers",,"This class excludes:
- manufacture of hand tools and interchangeable parts for pneumatic and power tools, see 2593
- manufacture of electrical hand held soldering and welding machines and apparatus equipment, see 2790"
C2819,2819,Manufacture of other general-purpose machinery,,"This class includes:
—manufacture of industrial refrigerating or freezing equipment, including assemblies of major components
—manufacture of air-conditioning machines, including for motor vehicles
—manufacture of non-domestic fans
—manufacture of weighing machinery (other than sensitive laboratory balances):
™ household and shop scales, platform scales, scales for continuous weighing, weighbridges, weights etc.
—manufacture of filtering or purifying machinery and apparatus for liquids
—manufacture of equipment for projecting, dispersing or spraying liquids or powders:
™ spray guns, fire extinguishers, sandblasting machines, steam cleaning machines etc.
—manufacture of packing and wrapping machinery:
™ filling, closing, sealing, capsuling or labeling machines etc.
—manufacture of machinery for cleaning or drying bottles and for aerating beverages
—manufacture of distilling or rectifying plant for petroleum refineries, chemical industries, beverage industries etc.
—manufacture of heat exchangers
—manufacture of machinery for liquefying air or gas
—manufacture of gas generators
—manufacture of calendering or other rolling machines and cylinders thereof (except for metal and glass)
—manufacture of centrifuges (except cream separators and clothes dryers)
—manufacture of gaskets and similar joints made of a combination of materials or layers of the same material
—manufacture of automatic goods vending machines
—manufacture of parts for general-purpose machinery
—manufacture of attic ventilation fans (gable fans, roof ventilators, etc.)
—manufacture of levels, tape measures and similar hand tools, machinists’ precision tools (except optical)
—manufacture of non-electrical welding and soldering equipment",,"This class excludes:
—manufacture of sensitive (laboratory-type) balances, see 2651
—manufacture of domestic refrigerating or freezing equipment, see 2750
—manufacture of domestic fans, see 2750
—manufacture of electrical welding and soldering equipment, see 2790
—manufacture of agricultural spraying machinery, see 2821
—manufacture of metal or glass rolling machinery and cylinders thereof, see 2823, 2829
—manufacture of agricultural dryers, see 2825
—manufacture of machinery for filtering or purifying food, see 2825
—manufacture of cream separators, see 2825
—manufacture of commercial clothes dryers, see 2826
—manufacture of textile printing machinery, see 2826"
C282,282,Manufacture of special-purpose machinery,,"This group includes the manufacture of special-purpose machinery, i.e. machinery for exclusive use in an ISIC industry or a small cluster of ISIC industries. While most of these are used in other manufacturing processes, such as food manufacturing or textile manufacturing, this group also includes the manufacture of machinery specific for other (non-manufacturing industries), such as aircraft launching gear or amusement park equipment.",,
C2821,2821,Manufacture of agricultural and forestry machinery,,"This class includes:
- manufacture of tractors used in agricultural and forestry
- manufacture of single-axe (pedestrian-controlled) tractors
- manufacture of mowers, including lawnmowers
- manufacture of agricultural self-loading or self-unloading trailers or semi-trailers for agricultural purposes
- manufacture of agricultural machinery for soil preparation or cultivation e.g.:
• ploughs, harrows, manure spreaders, seeders, fertiliser distributors, etc.
- manufacture of harvesting or threshing machinery e.g.:
• harvesters, threshers, sorters etc.
- manufacture of milking machines
- manufacture of agricultural or horticultural spraying appliances
- manufacture of diverse agricultural machinery e.g.:
• poultry-keeping machinery, bee-keeping machinery, equipment for preparing fodder etc.
• machines for cleaning, sorting or grading eggs, fruit etc.
- manufacture of machinery for vertical farming ",,"This class excludes:
- manufacture of non-power-driven agricultural hand tools of a kind used in agriculture, horticulture or forestry, see 2593
- manufacture of conveyors for farm use, see 2816
- manufacture of power-driven hand tools, see 2818
- manufacture of earth-moving machinery, see 2824
- manufacture of cream separators, see 2825
- manufacture of machinery to clean, sort or grade seed, grain or dried leguminous vegetables, see 2825
- manufacture of road tractors for semi-trailers, see 2910
- manufacture of trailers or semi-trailers for other than agricultural purposes, see 2920"
C2822,2822,Manufacture of metal-forming machinery and machine tools,,"This class includes:
- manufacture of machine tools for working metals and other materials (wood, bone, stone, hard rubber, hard plastics, cold glass etc.), including those using a laser beam, ultrasonic waves, plasma arc, magnetic pulse etc.
- manufacture of machine tools for turning, drilling, milling, shaping, planing, boring, grinding etc.
- manufacture of stamping or pressing machine tools
- manufacture of punch presses, hydraulic presses, hydraulic brakes, drop hammers, forging machines etc.
- manufacture of draw-benches, thread rollers or machines for working wires
- manufacture of stationary machines for nailing, stapling, glueing or otherwise assembling wood, cork, bone, hard rubber or plastics etc.
- manufacture of stationary rotary or rotary percussion drills, filing machines, riveters, sheet metal cutters etc.
- manufacture of presses for the manufacture of particle board and the like
- manufacture of electroplating machinery","This class also includes:
- manufacture of parts and accessories for the machine tools listed above: work holders, dividing heads and other special attachments for machine tools","This class excludes:
- manufacture of interchangeable tools for hand tools or machine tools (drills, punches, dies, taps, milling cutters, turning tools, saw blades, cutting knives etc.), see 2593
- manufacture of electric hand held soldering irons and soldering guns, see 2790
- manufacture of power-driven hand tools, see 2818
- manufacture of machinery used in metal mills or foundries, see 2823
- manufacture of machinery for mining and quarrying, see 2824"
C2823,2823,Manufacture of machinery for metallurgy,,"This class includes:
- manufacture of machines and equipment for handling hot metals e.g. converters, ingot moulds, ladles and casting machines of a kind used in metallurgy or in metal foundries
- manufacture of metal-rolling mills and rolls for such mills",,"This class excludes:
- manufacture of draw-benches, see 2822
- manufacture of moulding boxes and moulds (except ingot moulds), see 2593
- manufacture of machines for forming foundry moulds, see 2829"
C2824,2824,"Manufacture of machinery for mining, quarrying and construction",,"This class includes:
- manufacture of continuous-action elevators and conveyors for goods and materials, for underground use
- manufacture of boring, cutting or sinking machinery for boring earth or extracting minerals or ores or of coal or rock cutters and tunnelling machinery 
- manufacture of machinery for treating minerals by screening, sorting, separating, washing, crushing, grinding, mixing or kneading earth, stone, ores or other mineral substances, in solid (including powder or paste) form
- manufacture of concrete and mortar mixers
- manufacture of earth-moving machinery:
• bulldozers, angle-dozers, graders, scrapers, levellers, mechanical shovels, shovel loaders etc.
- manufacture of pile drivers and pile extractors, mortar spreaders, bitumen spreaders, concrete surfacing machinery etc.
- manufacture of machines for mixing mineral substances with bitumen
- manufacture of track laying excavators
- manufacture of bulldozer and angle-dozer blades
- manufacture of off-road dumping trucks
- manufacture of snow-ploughs and snow-blowers ",,"This class excludes:
- manufacture of lifting and handling equipment, see 2816
- manufacture of other tractors, see 2821, 2910
- manufacture of machine tools for working stone, including machines for splitting or clearing stone, see 2822
- manufacture of concrete-mixer lorries, see 2920"
C2825,2825,"Manufacture of machinery for food, beverage and tobacco processing",,"This class includes:
- manufacture of dryers for agricultural products
- manufacture of machinery for the dairy industry e.g.:
• cream separators
• milk processing machinery, e.g. homogenisers
• milk converting machinery, e.g. butter chums, butter workers and moulding machines
• cheese-making machines, e.g. homogenisers, moulders, presse)
- manufacture of machinery for the grain milling industry e.g.:
• machinery to clean, sort or grade seeds, grain or dried leguminous vegetables, e.g. winnowers, sieving belts, separators, grain brushing machines
• machinery to produce flour and meal etc., e.g. grinding mills, feeders, sifters, bran cleaners, blenders, rice hullers, pea splitters
- manufacture of presses, crushers etc., e.g.to make wine, cider, fruit juices etc.
- manufacture of machinery for the bakery industry or for making macaroni, spaghetti or similar products e.g.:
• bakery ovens, dough mixers, dough-dividers, moulders, slicers, cake depositing machines etc.
- manufacture of machines and equipment to process diverse foods e.g.:
• machinery to make confectionery, cocoa or chocolate; to manufacture sugar; for breweries; to process meat or poultry, to prepare fruit, nuts or vegetables; to prepare fish, shellfish or other seafood
• other machinery for the industrial preparation or manufacture of food or drink
- manufacture of machinery for the extraction or preparation of animal or vegetable fats or oils
- manufacture of machinery for the preparation of tobacco and for the making of cigarettes or cigars, or for pipe or chewing tobacco or snuff
- manufacture of machinery, plant and equipment for cooking or heating food in hotels and restaurants",,"This class excludes:
- manufacture of food and milk irradiation equipment, see 267
- manufacture of packing, wrapping and weighing machinery, see 2819
- manufacture of cleaning, sorting or grading machinery for eggs, fruit or other crops (except seeds, grains and dried leguminous vegetables), see 2821"
C2826,2826,"Manufacture of machinery for textile, apparel and leather production",,"This class includes:
- manufacture of textile machinery e.g.:
• machines for preparing, producing, extruding, drawing, texturing or cutting man-made textile fibres, materials or yarns
• machines for preparing textile fibres e.g.: cotton gins, bale breakers, garnetters, cotton spreaders, wool scourers, wool carbonisers, combs, carders, roving frames
• spinning machines
• machines for preparing textile yarns e.g.: reelers, warpers and related machines
• weaving machines (looms), including hand looms
• knitting machines
• machines for making knotted net, tulle, lace, braid etc.
- manufacture of auxiliary machines or equipment for textile machinery:
• dobbies, jacquards, automatic stop motions, shuttle changing mechanisms, spindles and spindle flyers etc.
- manufacture of textile printing machinery
- manufacture of machinery for fabric processing:
• machinery for washing, bleaching, dyeing, dressing, finishing, coating or impregnating textile fabrics
• manufacture of machines for reeling, unreeling, folding, cutting or pinking textile fabrics
- manufacture of laundry machinery:
• ironing machines, including fusing presses
• commercial washing and drying machines
• dry-cleaning machines
- manufacture of sewing machines, sewing machine heads and sewing machine needles (whether or not for household use)
- manufacture of machines for producing or finishing felt or non-wovens
- manufacture of leather machines:
• machinery for preparing, tanning or working hides, skins or leather
• machinery for making or repairing footwear or other articles of hides, skins, leather or fur skins",,"This class excludes:
- manufacture of paper or paperboard cards for use on jacquard machines, see 1709
- manufacture of domestic washing and drying machines, see 2750
- manufacture of calendaring machines, see 2819
- manufacture of machines used in bookbinding, see 2829"
C2829,2829,Manufacture of other special-purpose machinery,,"This class includes the manufacture of special-purpose machinery not elsewhere classified.

This class includes:
- manufacture of machinery for making paper pulp
- manufacture of paper and paperboard making or finishing machinery
- manufacture of dryers for wood, paper pulp, paper or paperboard
- manufacture of machinery producing articles of paper or paperboard
- manufacture of machinery for working soft rubber or plastics or for the manufacture of products of these materials:
* extruders, moulders, pneumatic tyre making or retreading machines and other machines for making a specific rubber or plastic product
- manufacture of printing and bookbinding machines and machines for activities supporting printing on a variety of materials 
- manufacture of machinery for producing tiles, bricks, shaped ceramic pastes, pipes, graphite electrodes, blackboard chalk, foundry moulds etc. 
- manufacture of semi-conductor manufacturing machinery
- manufacture of additive manufacturing machinery
- manufacture of industrial robots performing multiple tasks for special purposes
- manufacture of diverse special-purpose machinery and equipment:
* machines to assemble electric or electronic lamps, tubes (valves) or bulbs
* machines for production or hot-working of glass or glassware, glass fibre or yarn
* machinery or apparatus for isotopic separation
- manufacture of tire alignment and balancing equipment; balancing equipment (except wheel balancing)
- manufacture of central greasing systems
- manufacture of aircraft launching gear, aircraft carrier catapults and related equipment
- manufacture of automatic bowling alley equipment (e.g. pin-setters)
- manufacture of roundabouts, swings, shooting galleries and other fairground amusements",,"This class excludes:
- manufacture of household appliances, see 2750
- manufacture of photocopy machines etc., see 2817
- manufacture of machinery or equipment to work hard rubber, hard plastics or cold glass, see 2822
- manufacture of ingot moulds, see 2823
- manufacture of textile printing machinery, see 2826"
C29,29,"Manufacture of motor vehicles, trailers and semi-trailers",,"This division includes the manufacture of motor vehicles for transporting passengers or freight. The 
manufacture of various parts and accessories, as well as the manufacture of trailers and semi-trailers, 
is included here. 
The repair and maintenance of motor vehicles produced in this division are classified in 9531.",,
C291,291,Manufacture of motor vehicles,See class 2910,,,
C2910,2910,Manufacture of motor vehicles,,"This class includes the manufacture of electric, combustion and hybrid engine vehicles and of autonomous vehicles
It includes
- manufacture of passenger cars
- manufacture of commercial vehicles:
• vans, lorries, road tractors for semi-trailers etc.
- manufacture of buses, trolleybuses and coaches
- manufacture of motor vehicle engines, including electric motors
- manufacture of other motor vehicles e.g.:
• snowmobiles, golf carts, amphibious motor vehicles
• road sweeper trollies
• crane lorries
- all-terrain vehicles (ATV), go-carts and similar including racing cars","This class also includes:
 - factory rebuilding of motor vehicle engines ","This class excludes:
- manufacture of lamps for motor vehicles, see 2740
- manufacture of pistons, piston rings and carburetors, see 2811
- manufacture of agricultural and forestry tractors, see 2821
- manufacture of track laying excavators, see 2824
- manufacture of off-road dumping trucks, see 2824
- manufacture of bodies for motor vehicles, e.g. fire engines, travelling libraries, concrete-mixer lorries etc., see 2920
- manufacture of armoured vehicles for transport of goods, see 2920
- manufacture of electrical parts for motor vehicles, see 2930
- manufacture of parts and accessories for motor vehicles, see 2930
- manufacture of tanks and other military fighting vehicles, see 3040
- repair and maintenance of motor vehicles, see 9531
- manufacture of works trucks fitted with a crane, see 2816 "
C292,292,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,See class 2920,,,
C2920,2920,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,,"This class includes:
- manufacture of bodies, including cabs for motor vehicles e.g.
• fire engines, travelling libraries, armoured cars.
• concrete-mixer lorries
- outfitting of all types of motor vehicles, trailers and semi-trailers
- manufacture of trailers and semi-trailers e.g.:
• tankers, trailers with closed and open bodies etc.
• caravans etc.
- reconditioning and customising of motor vehicles
- manufacture of containers (including containers for the transport of fluids) specially designed and equipped for carriage by one or more modes of transport
- manufacture of chassis for trailers",,"This class excludes:
- manufacture of trailers and semi-trailers specially designed for use in agriculture, see 2821
- manufacture of parts and accessories of bodies for motor vehicles, see 2930
- manufacture of vehicles drawn by animals, see 3099
- manufacture of tanks and other military fighting vehicles, see 3040"
C293,293,Manufacture of parts and accessories for motor vehicles,See class 2930,,,
C2930,2930,Manufacture of parts and accessories for motor vehicles,,"This class includes:
- manufacture of diverse parts and accessories for motor vehicles:
* brakes, gearboxes, axles, road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalytic converters, clutches, steering wheels, steering columns and steering boxes
- manufacture of parts and accessories of bodies for motor vehicles:
* safety belts, airbags, doors, bumpers
- manufacture of car seats
- manufacture of motor vehicle electrical equipment, such as generators, alternators, spark plugs, ignition wiring harnesses, power window and door systems, assembly of purchased gauges into instrument panels, voltage regulators, lamps, etc.","This class also includes:
- manufacture of chassis (without engine) for motor vehicles
- manufacture of inverter modules and fuel cells for motor vehicles","This class excludes:
- manufacture of tyres, see 2211
- manufacture of rubber hoses and belts and other rubber products, see 2219
- manufacture of plastic hoses and belts and other plastic products, see 2220
- manufacture of batteries for vehicles, see 2720
- manufacture of lighting equipment for motor vehicles, see 2740
- manufacture of pistons, piston rings and carburetors, see 2811
- manufacture of pumps for motor vehicles and engines, see 2813
- maintenance, repair and alteration of motor vehicles, see 9531"
C30,30,Manufacture of other transport equipment,,"This division includes the manufacture of transportation equipment such as ship building and boat manufacturing, the manufacture of railroad rolling stock and locomotives, air and spacecraft, motorcycles and bicycles and the manufacture of parts thereof, whose manufacture is not elsewhere classified",,
C301,301,Building of ships and boats,,"This group includes the building of ships, boats, yachts and other floating structures for transportation and 
other commercial purposes, as well as for sports, recreational and military purposes",,
C3011,3011,Building of ships and floating structures,,"This class includes the building of civilian and military ships (except vessels for sports or recreation), and the construction of floating structures.

This class includes:
- building of commercial vessels:
* passenger vessels, ferry boats, cargo ships, tankers, tugs etc.
- building of military ships and vessels
- building of fishing vessels, factory ships and other vessels for processing or preserving fishery products
- manufacture of submersible drones","This class also includes:
- building of hovercraft (except recreation-type hovercraft)
- construction of drilling platforms, floating or submersible
- construction of floating structures:
* floating docks, pontoons, coffer-dams, floating landing stages, buoys, floating tanks, barges, lighters, floating cranes, non-recreational inflatable rafts etc.
- manufacture of sections for ships and floating structures","This class excludes:
- manufacture of parts of vessels, other than major hull assemblies:
* manufacture of sails, see 1392
* manufacture of ships' propellers, see 2599
* manufacture of iron or steel anchors, see 2599
* manufacture of marine engines, see 2811
- manufacture of navigational instruments, see 2651
- manufacture of lighting equipment for ships, see 2740
- manufacture of amphibious motor vehicles, see 2910
- manufacture of inflatable boats or rafts for recreation, see 3012
- specialized repair and maintenance of ships and floating structures, see 3315
- ship-breaking, see 3830
- interior installation of boats, see 4330"
C3012,3012,Building of pleasure and sporting boats,,"This class includes:
- manufacture of inflatable boats and rafts for sport and recreation
- building of sailboats with or without auxiliary motor
- building of motor boats
- building of recreation-type hovercraft
- building of yachts
- manufacture of personal watercraft
- manufacture of other pleasure and sporting boats e.g.:
• canoes, kayaks, rowing boats, skiffs","This class includes also
- factory conversion of pleasure and sporting boats","This class excludes:
- manufacture of parts of pleasure and sporting boats:
• manufacture of sails, see 1399
• manufacture of iron or steel anchors, see 2599
• manufacture of marine engines, see 2811
- factory overhaul sport and recreation ship and boat engines, see 2811
- manufacture of sailboards and surfboards, see 3230
- repair and repair of pleasure boats, see 3315
- rental of pleasure boats and sailing boats with crew, see 5011, 5021
- rental of pleasure boats and yachts without crew, see 7721"
C302,302,Manufacture of railway locomotives and rolling stock,See class 3020 ,,,
C3020,3020,Manufacture of railway locomotives and rolling stock,,"This class includes:
- manufacture of electric, diesel, steam and other rail locomotives
- manufacture of self-propelled railway or tramway coaches, vans and trucks
- manufacture of railway or tramway maintenance or service vehicles
- manufacture of railway or tramway rolling stock, not self-propelled e.g.:
• passenger coaches, goods vans, tank wagons, self-discharging vans and wagons, workshop vans, crane vans, tenders
- manufacture of specialised parts of railway or tramway locomotives or of rolling stock e.g.:
• bogies, axles, axle-boxes and wheels, brakes and parts of brakes; hooks and coupling devices, buffers and buffer parts; shock absorbers; wagon and locomotive frames; bodies; corridor connections etc.","This class also includes:
- manufacture of mining locomotives and mining rail cars
- manufacture of mechanical and electromechanical signalling, safety and traffic control equipment, e.g. for railways, tramways, inland waterways, roads, parking facilities, airfields etc.
- manufacture of railway car seats
- manufacture of railway transport simulators ","This class excludes:
- manufacture of unassembled rails, see 2410
- manufacture of assembled railway or tramway track fixtures and fittings, see 2599
- manufacture of electric motors not for motor vehicles, see 271
- manufacture of electrical signaling, safety or traffic-control equipment for railways or tramways, see 2790
- manufacture of engines and turbines, except motor vehicle, aircraft and cycle engines, see 2811
- manufacture of marine engines, see 2811 "
C303,303,Manufacture of air and spacecraft and related machinery,See class 3030,,,
C3030,3030,Manufacture of air and spacecraft and related machinery,,"This class includes the manufacture of civilian and military air and spacecraft and related machinery. It includes:
- manufacture of airplanes for the transport of goods or passengers, for sport or other purposes
- manufacture of helicopters
- manufacture of gliders, hang-gliders
- manufacture of dirigibles and hot air balloons
- manufacture of parts and accessories of the aircraft of this class:
* major assemblies such as fuselages, wings, doors, control surfaces, landing gear, fuel tanks, nacelles etc.
* airscrews, helicopter rotors and propelled rotor blades
* motors and engines of a kind typically found on aircraft
* parts of turbojets and turboprops for aircraft
- manufacture of ground flying trainers
- manufacture of civilian unmanned aircrafts (drones), non-recreational
- manufacture of military drones, Unmanned Aerial Vehicles (UAVs)
- manufacture of spacecraft and launch vehicles, satellites, planetary probes, orbital stations, shuttles","This class also includes:
- overhaul and conversion of aircraft or aircraft engines
- manufacture of aircraft seats","This class excludes:
- manufacture of parachutes, see 1392
- manufacture of military ordinance and ammunition, see 2520
- manufacture of telecommunication equipment for satellites, see 2630
- manufacture of aircraft instrumentation and aeronautical instruments, see 2651
- manufacture of air navigation systems, see 2651
- manufacture of lighting equipment for aircraft, see 2740
- manufacture of ignition parts and other electrical parts for internal combustion engines, see 2790
- manufacture of pistons, piston rings and carburetors, see 2811
- manufacture of aircraft launching gear, aircraft carrier catapults and related equipment, see 2829
- manufacture of drones for recreational purposes, see 3240"
C304,304,Manufacture of military fighting vehicles,See class 3040,,,
C3040,3040,Manufacture of military fighting vehicles,,"This class includes the manufacture of military fighting vehicles, whether or not fitted with weapons, and of parts of such vehicles, e.g.:
- manufacture of tanks
- manufacture of armoured combat vehicles for transporting persons
- manufacture of armoured supply vehicles or armoured recovery vehicles with cranes
- manufacture of armoured amphibious military vehicles
- manufacture of remotely operated tanks
- manufacture of armoured fighting vehicle bodies and parts thereof, e.g. armoured turrets, armoured doors and covers
- manufacture of armoured plates that are identifiable as parts of military fighting vehicles
- manufacture of special tracks and special wheels and drive wheels for armored fighting vehicles","This class also includes:
- factory overhaul and rebuilding of military fighting vehicles","This class excludes:
- manufacture of weapons and ammunitions, see 2520
- manufacture of passenger cars and trucks with light armor or with removable armor, see 2910
- manufacture of military ships, see 3011
- repair and maintenance of military fighting vehicles, see 3315
- manufacture of drones for military purposes, see 3030"
C309,309,Manufacture of transport equipment n.e.c.,,"This group includes the manufacture of transport equipment other than motor vehicles and rail, water, 
air or space transport equipment and military vehicles.",,
C3091,3091,Manufacture of motorcycles,,"This class includes:
- manufacture of motorcycles and mopeds 
- manufacture of engines for motorcycles
- manufacture of sidecars for motorcycles
- manufacture of parts and accessories for motorcycles, e.g. brakes, gear boxes, clutches, road wheels, silencers and exhaust pipes, and parts thereof","This class also includes:
 - manufacturing of personal transporters, e.g. electric skateboard and kick scooters","This class excludes:
- manufacture of pneumatic tyres of rubber, of a kind used for motorcycles, see 2211
- manufacture of bicycles, see 3092
- manufacture of bicycles with an auxiliary electric motor, see 3092
- manufacture of carriages for disabled persons, see 3092"
C3092,3092,Manufacture of bicycles and invalid carriages,,"This class includes:
- manufacture of non-motorised bicycles and other cycles, including (delivery) tricycles, tandems, children's bicycles and tricycles
- manufacture of parts and accessories of bicycles, e.g. frames, forks, wheel rims and spokes, hubs, brakes, saddles, pedals, crank-gear and derailleur gears
- manufacture of bicycles with an auxiliary electric motor
- manufacture of carriages for disabled persons with or without motor
- manufacture of parts and accessories of carriages for disabled persons
- manufacture of baby carriages and parts thereof","This class also includes:
 - manufacture of electric assisted bicycles (i.e., bicycles with motors that do not require pedaling to move)","This class excludes:
- manufacture of pneumatic tyres and inner tubes of rubber, of a kind used for bicycles, see 2211
- manufacture of wheeled toys designed to be ridden, including plastic bicycles and tricycles, see 3240"
